StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,prolificid,moral_concern_1_1,moral_concern_1_2,moral_concern_1_3,moral_concern_1_4,moral_concern_1_5,moral_concern_1_6,moral_concern_1_7,moral_concern_1_8,moral_concern_1_9,moral_concern_1_10,moral_concern_1_11,moral_concern_1_12,moral_concern_1_13,moral_concern_1_14,moral_concern_1_15,moral_concern_1_16,moral_concern_1_17,moral_concern_1_18,moral_concern_1_19,moral_concern_1_20,moral_concern_1_21,moral_concern_1_22,moral_concern_1_23,moral_concern_1_24,moral_concern_1_25,moral_concern_1_26,moral_concern_1_27,moral_concern_1_28,moral_concern_1_29,moral_concern_1_30,moral_concern_1_31,moral_concern_1_32,moral_concern_1_33,moral_concern_1_34,moral_concern_1_35,moral_concern_1_36,moral_concern_1_37,moral_concern_1_38,moral_concern_1_39,moral_concern_1_40,moral_concern_1_41,moral_concern_1_42,moral_concern_1_43,moral_concern_1_44,moral_concern_1_45,moral_concern_1_46,moral_concern_1_47,moral_concern_1_48,moral_concern_1_49,moral_concern_1_50,moral_concern_1_51,moral_concern_1_52,moral_concern_1_53,moral_concern_1_54,moral-concern_2_1,moral-concern_2_2,moral-concern_2_3,moral-concern_2_4,moral-concern_2_5,moral-concern_2_6,moral-concern_2_7,moral-concern_2_8,moral-concern_2_9,moral-concern_2_10,moral-concern_2_11,moral-concern_2_12,moral-concern_2_13,moral-concern_2_14,moral-concern_2_15,moral-concern_2_16,moral-concern_2_17,moral-concern_2_18,moral-concern_2_19,moral-concern_2_20,moral-concern_2_21,moral-concern_2_22,moral-concern_2_23,moral-concern_2_24,moral-concern_2_25,moral-concern_2_26,moral-concern_2_27,moral-concern_2_28,moral-concern_2_29,moral-concern_2_30,moral-concern_2_31,moral-concern_2_32,moral-concern_2_33,moral-concern_2_34,moral-concern_2_35,moral-concern_2_36,moral-concern_2_37,moral-concern_2_38,moral-concern_2_39,moral-concern_2_40,moral-concern_2_41,moral-concern_2_42,moral-concern_2_43,moral-concern_2_44,moral-concern_2_45,moral-concern_2_46,moral-concern_2_47,moral-concern_2_48,moral-concern_2_49,moral-concern_2_50,moral-concern_2_51,moral-concern_2_52,moral-concern_2_53,moral-concern_2_54,reduce_meat_1,reduce_meat_2,reduce_meat_3,reduce_meat_4,reduce_meat_5,reduce_meat_6,reduce_meat_7,reduce_meat_8,reduce_meat_9,reduce_meat_10,diet,diet_5_TEXT,breakfast_meat,lunch_meat,dinner_meat,age,gender,gender_9_TEXT,nationality,religious,politics,comment
09-04-21 16:51,09-04-21 16:56,0,100,332,1,09-04-21 16:56,R_2Qg3anNmDoSk4wt,NA,NA,NA,NA,anonymous,EN,5eb07d618f410a1229c83fa1,6,5,4,3,4,3,3,2,3,2,4,5,2,1,3,5,2,1,2,4,5,7,2,2,2,1,2,5,6,8,9,9,9,6,6,6,5,2,6,3,5,3,6,5,5,1,1,1,3,3,3,6,6,5,6,4,3,3,3,4,3,3,4,3,4,4,2,1,1,3,3,1,2,4,6,6,4,2,2,2,2,5,5,6,9,9,9,6,6,6,5,2,5,4,5,5,5,5,5,1,1,1,4,3,3,5,4,4,2,2,1,1,1,1,1,1,1,1,1,,2,5,6,29,0,,183,0,-2,
09-04-21 16:52,09-04-21 16:57,0,100,289,1,09-04-21 16:57,R_2AGOTboQo4gizK6,NA,NA,NA,NA,anonymous,EN,5cd1d1f7db7024000195cc75,8,7,8,8,3,6,7,5,5,2,2,7,4,3,7,7,2,2,4,8,9,9,4,3,3,4,7,8,9,9,9,9,9,6,9,8,9,7,7,3,5,5,6,8,9,3,1,1,8,5,2,9,3,3,8,5,4,6,6,7,5,4,6,6,6,5,4,4,4,5,5,2,4,6,9,9,5,5,3,5,6,7,8,8,9,9,9,8,8,8,9,7,8,7,6,7,8,9,7,2,2,1,5,6,3,8,7,4,2,2,2,2,2,2,2,1,1,1,1,,1,4,7,33,1,,183,0,-2,
09-04-21 16:52,09-04-21 16:57,0,100,333,1,09-04-21 16:57,R_3Oj3ZqGGD2SW1Wr,NA,NA,NA,NA,anonymous,EN,5eb01d58f2b76205a211f6dd,7,9,6,6,6,6,6,6,6,6,6,8,2,6,5,6,5,6,6,6,7,4,5,6,6,6,6,6,8,7,9,9,9,7,8,6,8,7,7,7,6,7,8,8,7,2,1,1,8,8,6,8,8,6,8,7,4,5,5,4,4,4,5,5,6,8,4,4,5,4,5,5,5,5,4,4,2,4,4,4,4,5,5,4,9,9,9,7,7,8,8,5,7,7,6,7,8,7,6,1,2,2,5,8,5,8,8,6,2,2,2,2,2,2,2,2,2,2,2,,1,1,2,23,1,,183,0,-1,
09-04-21 16:54,09-04-21 16:59,0,100,302,1,09-04-21 16:59,R_AmO17SIAvvv2wpz,NA,NA,NA,NA,anonymous,EN,5dadacfb949a4d00151f5236,4,1,5,5,1,1,3,5,6,1,1,1,1,4,6,5,6,1,5,6,6,1,1,1,1,4,4,5,6,1,8,6,9,5,6,4,6,4,6,6,6,8,6,6,6,4,1,1,4,5,2,6,4,4,5,4,5,5,5,4,4,4,5,5,5,4,4,6,6,4,5,5,4,5,4,4,5,4,6,5,4,5,5,5,6,7,9,7,6,9,6,7,6,6,6,7,6,7,7,7,7,6,5,4,6,6,4,4,2,2,2,2,2,1,1,1,1,1,1,,1,4,8,21,0,,183,0,-2,
09-04-21 16:56,09-04-21 17:04,0,100,458,1,09-04-21 17:04,R_2V1HvwsEeCfobyc,NA,NA,NA,NA,anonymous,EN,5f5145872b50e936ccccc563,8,8,8,8,8,8,8,8,8,7,8,7,7,7,7,8,8,7,8,8,8,8,8,8,8,7,8,8,8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,9,8,5,5,5,5,5,5,7,6,1,8,8,8,8,8,8,8,8,8,7,8,7,7,7,7,8,8,7,8,8,8,8,8,8,8,7,8,8,8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,7,5,1,2,2,2,2,2,2,2,2,2,2,1,,1,1,4,46,0,,183,0,-3,
09-04-21 16:55,09-04-21 17:04,0,100,549,1,09-04-21 17:04,R_1DUXxd79ongFgQb,NA,NA,NA,NA,anonymous,EN,57c02e6b6feb330001ff4b95,5,6,5,3,5,5,4,4,4,1,2,2,1,2,1,4,2,1,2,4,5,5,4,2,2,1,2,6,6,6,9,9,9,6,6,7,6,6,6,8,7,6,6,3,6,1,1,1,3,2,1,3,3,2,5,6,6,5,5,5,4,5,5,2,4,4,1,2,1,5,3,2,4,4,5,5,5,3,3,1,3,5,6,5,9,9,9,7,7,7,7,7,7,8,7,7,7,4,6,1,2,1,3,2,1,4,3,2,2,2,2,2,2,1,1,1,1,1,1,,1,1,6,70,0,,183,0,1,"No, thanks"
09-04-21 16:59,09-04-21 17:06,0,100,408,1,09-04-21 17:06,R_3oUa1c16ARYtIzY,NA,NA,NA,NA,anonymous,EN,5fdca0f3cad6ac22c0fb3534,9,9,9,9,9,7,9,9,6,6,7,9,4,3,2,9,5,1,7,8,9,9,9,9,9,2,9,8,9,9,9,9,9,9,9,9,9,8,8,7,9,9,9,8,9,1,1,1,7,6,3,9,9,7,9,9,9,5,7,7,8,9,6,7,7,9,4,3,2,9,6,2,7,9,9,9,9,9,9,3,9,9,3,9,9,9,9,9,9,9,9,9,9,8,9,9,9,8,9,1,1,1,6,6,3,9,9,9,2,2,2,2,2,1,1,1,1,1,1,,1,5,8,22,0,,183,0,-3,
09-04-21 16:56,09-04-21 17:06,0,100,593,1,09-04-21 17:06,R_WrjPCJPFQP6twGJ,NA,NA,NA,NA,anonymous,EN,5c963847e751090015dbaf9f,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,4,2,5,3,4,1,5,5,5,9,6,1,1,1,9,8,5,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,5,5,3,3,4,1,4,5,5,9,5,1,1,1,9,9,8,9,9,8,2,2,2,2,2,2,2,2,2,2,3,,1,1,1,57,0,,183,0,-1,"Because I am already a vegetarian, and have been for 38 years, I can't eat any less meat! You should have had a question asking """"are you vegetarian or vegan?""""."
09-04-21 16:57,09-04-21 17:06,0,100,580,1,09-04-21 17:06,R_10H7FJjbPsGnh3W,NA,NA,NA,NA,anonymous,EN,5b24f4c734ffd00001b428ec,3,2,5,3,4,4,2,4,2,4,5,5,4,2,3,4,4,4,2,5,3,4,4,1,3,4,4,2,4,3,6,4,9,4,3,7,5,3,4,3,5,4,6,4,3,1,1,1,4,4,3,4,5,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,6,5,9,3,3,6,3,2,3,3,3,3,4,3,3,1,1,3,3,3,3,3,3,2,1,1,2,1,1,1,1,1,1,1,1,,1,4,8,36,1,,183,0,0,
09-04-21 16:58,09-04-21 17:06,0,100,504,1,09-04-21 17:06,R_yI2zy6ts7o8GV6F,NA,NA,NA,NA,anonymous,EN,5c618846d77129000158c7a0,8,8,7,6,6,6,7,7,7,7,7,7,6,7,7,7,7,8,7,7,8,7,7,6,2,7,3,5,7,7,9,9,9,9,9,9,7,9,9,9,9,9,9,9,7,2,1,1,8,7,7,7,8,9,8,7,7,6,7,7,7,7,7,7,7,8,6,7,7,7,7,7,7,7,7,7,7,7,4,7,6,7,7,7,9,9,9,9,9,9,7,9,9,9,9,9,9,9,7,5,1,1,8,7,7,8,8,9,2,2,2,1,1,1,1,1,1,1,1,,1,4,5,19,1,,183,1,1,
